ID,First_Name,Last_Name,State,Five_Star_Reviews,Four_Star_Reviews,Three_Star_Reviews,Two_Star_Reviews,One_Star_Reviews
626661,Amanda,Anthony,Delaware,44,90,89,6,25
658606,Luke,Lauren,North Dakota,43,13,40,39,41
165790,Gabriel,Mike,Massachusetts,85,95,23,81,18
412206,Stephen,Michael,Colorado,17,11,83,96,41
532337,Cynthia,Jeffrey,New York,66,71,92,44,49
844261,Lisa,Robert,Ohio,54,15,58,65,40
444230,Dakota,Christina,Massachusetts,46,86,61,28,89
835291,Wesley,Robert,New Mexico,58,97,68,42,51
272602,Matthew,Louis,Ohio,92,55,1,55,30
817386,Robert,Emily,Montana,17,92,97,5,15
184639,Sharon,Misty,Arizona,50,38,70,38,14
489073,Alejandro,Kathleen,Illinois,93,92,43,46,1
519018,Laura,Michael,Nevada,45,15,11,3,40
139520,Patrick,Kevin,Kentucky,28,9,61,67,61
145978,Brian,Jamie,Utah,32,43,83,66,42
591068,Tracey,Philip,Alabama,17,71,39,7,64
705644,Todd,Joshua,Nevada,56,48,58,57,71
326998,Michael,Jack,Minnesota,11,48,53,75,11
460267,Crystal,Antonio,New Jersey,4,44,85,76,9
108585,Timothy,Alan,Missouri,88,20,92,15,35
808191,Nathan,Janice,Utah,13,38,35,86,18
492872,William,Mark,Colorado,13,25,50,37,75
216124,Chris,Daniel,Hawaii,98,71,95,86,27
584753,Jeffrey,John,Wisconsin,31,9,39,55,46
478047,Frank,David,Tennessee,100,28,91,64,44
799899,James,Raymond,Vermont,63,17,71,26,40
874457,Daniel,Katelyn,North Dakota,7,23,21,12,3
620251,Ryan,Jose,Colorado,92,67,30,52,28
180146,Kevin,Christopher,New Hampshire,27,51,45,15,21
563366,John,Kaitlyn,Mississippi,97,12,83,94,67
653605,Ana,Rose,Arkansas,21,46,41,67,84
745789,Yvette,Daisy,Washington,8,64,11,64,3
761157,John,Travis,Connecticut,8,81,17,68,68
579382,Stephanie,Bonnie,Washington,77,75,21,14,19
247045,John,David,New Mexico,4,48,28,96,32
152585,Danny,Matthew,New Jersey,17,33,48,26,3
891292,Justin,Leslie,Maryland,48,80,62,65,59
207786,Justin,Dustin,Georgia,93,20,29,68,16
383952,Sheila,Sarah,Louisiana,60,100,99,25,17
895637,Larry,Nicole,Idaho,5,78,47,47,73
461075,Christine,Stephanie,Maine,55,96,24,56,78
587253,Paul,Anthony,Texas,21,97,41,19,43
283535,Teresa,Ethan,North Dakota,77,19,66,45,90
431743,Michael,Craig,Rhode Island,71,25,28,36,12
219029,Deborah,John,Indiana,60,54,55,50,100
